,City,Latitude,Longitude,Max Temp (C),Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6,-73.97,33.33,39,80,4.5,US,1595280523
1,kapaa,22.08,-159.32,28.0,74,90,5.7,US,1595280803
2,ushuaia,-54.8,-68.3,0.0,86,3,1.5,AR,1595280804
3,fare,-16.7,-151.02,25.37,80,45,11.13,PF,1595281275
4,khasan,42.43,130.64,19.69,87,48,3.59,RU,1595281275
5,lagoa,39.05,-27.98,20.85,69,3,2.35,PT,1595280525
6,lebu,-37.62,-73.65,10.91,84,94,4.64,CL,1595280618
7,barrow,71.29,-156.79,1.0,86,90,2.6,US,1595280828
8,luchegorsk,46.48,134.26,17.86,98,100,1.15,RU,1595281276
9,san quintin,30.48,-115.95,24.26,54,0,9.85,MX,1595280676
10,kieta,-6.22,155.63,27.8,68,43,1.42,PG,1595280717
11,castro,-24.79,-50.01,15.31,78,0,1.73,BR,1595280546
12,baykit,61.67,96.37,9.87,83,3,1.17,RU,1595280648
13,portland,45.52,-122.68,32.78,33,20,4.6,US,1595281276
14,bredasdorp,-34.53,20.04,16.0,87,7,3.6,ZA,1595280629
15,chokurdakh,70.63,147.92,24.81,39,67,5.84,RU,1595280832
16,sauk rapids,45.59,-94.17,26.11,50,40,1.73,US,1595281277
17,dyersburg,36.03,-89.39,33.0,63,1,2.1,US,1595281277
18,indramayu,-6.33,108.32,25.87,81,5,3.41,ID,1595281277
19,iqaluit,63.75,-68.51,8.0,93,75,2.1,CA,1595280654
20,leningradskiy,69.38,178.42,8.52,63,0,5.18,RU,1595280873
21,punta arenas,-53.15,-70.92,0.0,95,90,2.6,CL,1595280806
22,kutum,14.2,24.67,23.83,65,21,3.5,SD,1595281277
23,brownwood,31.71,-98.99,36.0,26,20,7.7,US,1595281019
24,cape town,-33.93,18.42,11.11,93,0,1.0,ZA,1595280582
25,thompson,55.74,-97.86,26.0,29,75,1.5,CA,1595280637
26,adrar,20.5,-10.07,36.55,19,25,1.52,MR,1595281278
27,mataura,-46.19,168.86,3.89,83,70,1.34,NZ,1595280802
28,hilo,19.73,-155.09,28.0,58,75,4.1,US,1595280809
29,kavieng,-2.57,150.8,28.45,75,87,4.46,PG,1595280639
30,lavrentiya,65.58,-171.0,7.71,76,100,2.66,RU,1595280845
31,yellowknife,62.46,-114.35,25.0,47,40,3.6,CA,1595280627
32,kidal,18.44,1.41,31.99,33,34,6.79,ML,1595281279
33,fortuna,40.6,-124.16,17.78,77,1,6.2,US,1595280578
34,norman wells,65.28,-126.83,17.0,77,90,3.1,CA,1595280819
35,hermanus,-34.42,19.23,12.78,78,0,6.02,ZA,1595281272
36,puerto ayora,-0.74,-90.35,27.0,61,40,4.6,EC,1595280522
37,seybaplaya,19.65,-90.67,26.0,88,40,5.76,MX,1595281280
38,mahebourg,-20.41,57.7,21.0,60,75,5.1,MU,1595280655
39,rikitea,-23.12,-134.97,20.13,59,92,5.56,PF,1595280804
40,athabasca,54.72,-113.29,22.86,56,38,2.53,CA,1595281280
41,jiuquan,39.74,98.52,22.91,21,100,4.35,CN,1595281277
42,guerrero negro,27.98,-114.06,30.86,38,10,5.99,MX,1595280535
43,kodiak,57.79,-152.41,23.0,46,1,6.7,US,1595280818
44,tromso,69.65,18.96,12.0,93,75,6.7,NO,1595280952
45,provideniya,64.38,-173.3,10.0,76,75,4.0,RU,1595280530
46,healesville,-37.65,145.52,7.22,99,94,0.42,AU,1595281281
47,punta alta,-38.88,-62.07,9.44,88,99,7.77,AR,1595281113
48,busselton,-33.65,115.33,10.56,65,99,6.17,AU,1595280529
49,martapura,-3.42,114.85,23.0,100,75,0.5,ID,1595281281
50,annamalainagar,11.4,79.73,27.89,79,98,3.05,IN,1595281281
51,ferkessedougou,9.6,-5.2,23.59,90,99,2.14,CI,1595281281
52,talnakh,69.49,88.4,10.0,100,90,4.0,RU,1595280832
53,bluff,-46.6,168.33,3.89,83,89,1.34,NZ,1595280588
54,atuona,-9.8,-139.03,26.7,77,42,7.11,PF,1595280827
55,sao filipe,14.9,-24.5,25.07,82,41,3.86,CV,1595280867
56,vaini,-21.2,-175.2,23.0,73,20,2.1,TO,1595280819
57,qaanaaq,77.48,-69.36,8.81,72,98,0.28,GL,1595280853
58,sorland,67.67,12.69,13.0,76,75,3.44,NO,1595280844
59,tupik,54.43,119.93,11.29,91,77,1.09,RU,1595281282
60,antas,41.74,-8.31,25.0,73,14,3.6,PT,1595281282
61,acapulco,16.86,-99.89,31.0,74,90,2.6,MX,1595280880
62,petatlan,17.52,-101.27,34.0,56,20,6.7,MX,1595281282
63,uige,-7.61,15.06,17.19,40,2,1.79,AO,1595281283
